EstacaoCodigo;Data;Maxima;Minima;Media
66380000;01/02/1981;218.417;45.15;87.695
66380000;01/01/1981;126.16;49.419;80.938
66380000;01/12/1980;123.343;48.342;70.433
66380000;01/11/1980;117.764;38.958;58.032
66380000;01/10/1980;112.259;37.952;47.766
66380000;01/09/1980;84.65;43.057;47.705
66380000;01/08/1980;47.271;43.057;45.97
66380000;01/07/1980;53.797;47.271;49.959
66380000;01/06/1980;62.861;52.693;56.457
66380000;01/05/1980;127.575;61.707;72.489
66380000;01/04/1980;124.749;67.542;94.976
66380000;01/03/1980;428.673;108.181;175.078
66380000;01/02/1980;449.587;121.941;162.028
66380000;01/01/1980;278.507;64.022;140.452
66380000;01/12/1979;141.971;48.342;86.757
66380000;01/11/1979;72.316;39.972;49.764
66380000;01/10/1979;54.908;37.952;43.344
66380000;01/09/1979;84.65;43.057;53.43
66380000;01/08/1979;53.797;40.993;42.741
66380000;01/07/1979;49.419;44.1;46.898
66380000;01/06/1979;73.525;50.504;58.841
66380000;01/05/1979;120.544;68.727;84.751
66380000;01/04/1979;205.309;84.65;104.956
66380000;01/03/1979;192.436;87.182;124.26
66380000;01/02/1979;231.753;89.735;122.454
66380000;01/01/1979;400.76;124.749;209.638
66380000;01/12/1978;428.673;50.774;126.867
66380000;01/11/1978;105.926;40.891;67.927
66380000;01/10/1978;86.446;33.47;42.791
66380000;01/09/1978;49.549;34.367;39.622
66380000;01/08/1978;38.984;34.367;36.73
66380000;01/07/1978;48.335;39.933;43.007
66380000;01/06/1978;70.461;45.941;52.039
66380000;01/05/1978;92.462;54.355;62.366
66380000;01/04/1978;138.491;61.643;79.088
66380000;01/03/1978;448.793;77.106;148.298
66380000;01/02/1978;220.913;55.378;92.626
66380000;01/01/1978;304.776;68.129;139.029
66380000;01/12/1977;206.265;56.406;83.254
66380000;01/11/1977;165.406;37.986;78.003
66380000;01/10/1977;71.452;36.191;41.734
66380000;01/09/1977;52.33;36.191;39.656
66380000;01/08/1977;38.894;35.305;36.34
66380000;01/07/1977;48.356;38.894;43.224
66380000;01/06/1977;73.696;48.356;57.745
66380000;01/05/1977;84.078;55.378;68.692
66380000;01/04/1977;133.203;46.409;76.489
66380000;01/03/1977;213.447;70.338;89.792
66380000;01/02/1977;245.688;77.106;143.685
66380000;01/01/1977;313.517;75.964;118.369
66380000;01/12/1976;106.126;39.809;70.185
66380000;01/11/1976;130.854;32.654;67.287
66380000;01/10/1976;80.528;29.143;49.257
66380000;01/09/1976;56.762;29.143;35.137
66380000;01/08/1976;38.201;29.143;33.341
66380000;01/07/1976;43.073;30.879;38.613
66380000;01/06/1976;62.404;42.081;48.756
66380000;01/05/1976;104.941;32.044;60.417
66380000;01/04/1976;121.979;58.249;78.412
66380000;01/03/1976;162.356;72.813;101.626
66380000;01/02/1976;181.723;72.813;126.252
66380000;01/01/1976;139.095;61.922;82.529
66380000;01/12/1975;179.222;64.418;96.653
66380000;01/11/1975;96.787;36.652;59.63
66380000;01/10/1975;64.854;33;40.26
66380000;01/09/1975;47.416;32.11;35.688
66380000;01/08/1975;38.531;34.808;36.78
66380000;01/07/1975;50.528;34.808;41.06
66380000;01/06/1975;64.854;54.793;59.103
66380000;01/05/1975;129.572;66.011;84.546
66380000;01/04/1975;209.398;100.252;144.586
66380000;01/03/1975;423.61;89.997;151.276
66380000;01/02/1975;181.723;67.727;98.705
66380000;01/01/1975;177.98;65.732;96.287
66380000;01/12/1974;127.021;46.17;61.848
66380000;01/11/1974;79.097;36.191;44.397
66380000;01/10/1974;55.162;36.191;43.153
66380000;01/09/1974;54.236;41.902;44.191
66380000;01/08/1974;57.976;43.59;46.565
66380000;01/07/1974;46.17;41.902;43.595
66380000;01/06/1974;58.925;47.042;52.75
66380000;01/05/1974;101.417;57.976;77.783
66380000;01/04/1974;288.685;83.394;114.104
66380000;01/03/1974;231.377;88.883;137.091
66380000;01/02/1974;169.448;72.813;115.624
66380000;01/01/1974;168.252;67.727;114.644
66380000;01/12/1973;200.753;44.346;90.215
66380000;01/11/1973;129.699;40.825;63.579
66380000;01/10/1973;70.672;27.151;33.407
66380000;01/09/1973;29.803;27.151;27.649
66380000;01/08/1973;30.72;27.151;28.573
66380000;01/07/1973;34.556;30.72;31.769
66380000;01/06/1973;38.666;33.571;35.412
66380000;01/05/1973;89.074;39.737;48.817
66380000;01/04/1973;105.306;47.123;63.457
66380000;01/03/1973;113.225;50.984;70.334
66380000;01/02/1973;170.411;51.977;83.152
66380000;01/01/1973;153.371;47.123;71.444
66380000;01/12/1972;196.507;40.825;68.804
66380000;01/11/1972;130.907;27.151;54.602
66380000;01/10/1972;55.028;25.465;31.784
66380000;01/09/1972;30.72;25.465;26.944
66380000;01/08/1972;30.72;25.465;27.027
66380000;01/07/1972;39.737;27.151;29.894
66380000;01/06/1972;34.556;30.72;31.89
66380000;01/05/1972;58.184;34.556;38.604
66380000;01/04/1972;97.604;40.825;56.004
66380000;01/03/1972;140.726;46.186;63.64
66380000;01/02/1972;143.223;58.184;82.503
66380000;01/01/1972;155.949;40.825;67.821
66380000;01/12/1971;128.494;33.571;51.334
66380000;01/11/1971;86.133;32.347;46.026
66380000;01/10/1971;66.476;30.341;37.404
66380000;01/09/1971;39.738;25.542;27.594
66380000;01/08/1971;31.338;26.477;27.188
66380000;01/07/1971;33.368;28.384;31.318
66380000;01/06/1971;36.501;30.341;33.485
66380000;01/05/1971;56.164;34.401;38.862
66380000;01/04/1971;74.66;37.569;51.426
66380000;01/03/1971;105.74;50.055;73.809
66380000;01/02/1971;135.085;38.648;67.109
66380000;01/01/1971;63.837;23.709;38.74
66380000;01/12/1970;48.864;19.357;23.866
66380000;01/11/1970;56.025;29.247;35.67
66380000;01/10/1970;72.316;31.125;37
66380000;01/09/1970;40.993;27.403;31.045
66380000;01/08/1970;30.182;27.403;28.682
66380000;01/07/1970;34.003;30.182;32.639
66380000;01/06/1970;51.595;34.003;39.198
66380000;01/05/1970;88.456;52.693;60.006
66380000;01/04/1970;102.811;60.558;71.181
66380000;01/03/1970;430.559;73.525;143.313
66380000;01/02/1970;432.448;53.797;130.284
66380000;01/01/1970;207.082;26.477;56.626
66380000;01/12/1969;56.164;25.185;33.553
66380000;01/11/1969;35.445;16.172;20.274
66380000;01/10/1969;25.828;15.289;17.499
66380000;01/09/1969;25.185;14.425;16.108
66380000;01/08/1969;17.531;15.289;15.932
66380000;01/07/1969;17.993;16.172;17.49
66380000;01/06/1969;20.859;17.993;19.126
66380000;01/05/1969;79.269;19.886;26.031
66380000;01/04/1969;51.906;23.367;31.345
66380000;01/03/1969;143.422;28.459;54.031
66380000;01/02/1969;88.962;33.289;52.242
66380000;01/01/1969;101.658;27.792;47.448
66380000;01/12/1968;190.354;36.91;60.279
66380000;01/11/1968;51.07;25.185;32.236
66380000;01/10/1968;51.906;26.477;29.645
66380000;01/09/1968;51.906;26.477;30.553
66380000;01/08/1968;29.131;24.549;26.924
66380000;01/07/1968;30.494;27.792;28.463
66380000;01/06/1968;33.289;30.494;31.909
66380000;01/05/1968;42.991;34.002;37.926
66380000;01/04/1968;59.66;42.212;48.5
66380000;01/03/1968;602.199;43.775;152.222
66380000;01/02/1968;480.517;36.812;129.414
66380000;01/01/1968;78.414;24.46;43.604
66380000;01/12/1967;109.536;21.861;31.324
