system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19880211_00000000000000000000;430.0;3;806.0;1042.0;1261.0;430.0;2960.0;244.0;66845000;PEDRO GOMES;3.0;0;11/09/1988;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.3042071197411003;66.0;0.0;LANDSAT_5;89.620.949;39.416.237;60.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880211_00000000000000000001;605.0;4;1061.0;1422.0;1803.0;145.0;2947.0;59.0;66870000;COXIM;3.0;0;11/09/1988;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7595356550580431;66.0;0.0;LANDSAT_5;89.620.949;39.416.237;40.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880330_00000000000000000000;332.0;4;654.0;821.0;1401.0;478.0;2955.0;190.0;66845000;PEDRO GOMES;0.0;0;30/10/1988;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.15547703180212014;66.0;0.0;LANDSAT_5;62.814.117;44.057.968;9.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880330_00000000000000000001;514.0;4;967.0;1306.0;1156.0;107.0;2951.0;27.0;66870000;COXIM;0.0;0;30/10/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7932367149758454;68.0;0.0;LANDSAT_5;62.814.117;44.057.968;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880415_00000000000000000000;377.0;4;744.0;944.0;1159.0;442.0;2924.0;199.0;66845000;PEDRO GOMES;1.0;0;15/10/1988;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.2279475982532751;66.0;0.0;LANDSAT_5;55.021.568;4.659.079;10.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880415_00000000000000000001;517.0;4;955.0;1241.0;1079.0;142.0;2924.0;72.0;66870000;COXIM;1.0;0;15/10/1988;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7411121239744758;68.0;0.0;LANDSAT_5;55.021.568;4.659.079;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880501_00000000000000000000;414.0;3;812.0;1018.0;1016.0;378.0;2951.0;168.0;66845000;PEDRO GOMES;3.0;0;01/10/1988;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.32896890343698854;68.0;0.0;LANDSAT_5;48.953.915;49.436.493;10.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880501_00000000000000000001;513.0;4;904.0;1220.0;1120.0;151.0;2938.0;123.0;66870000;COXIM;3.0;0;01/10/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7137440758293839;68.0;0.0;LANDSAT_5;48.953.915;49.436.493;26.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880517_00000000000000000000;390.0;4;652.0;807.0;1265.0;466.0;2920.0;226.0;66845000;PEDRO GOMES;42.0;0;17/10/1988;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.2430886558627264;66.0;0.0;LANDSAT_5;44.859.413;52.208.298;14.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880517_00000000000000000001;478.0;4;847.0;1021.0;572.0;160.0;2924.0;80.0;66870000;COXIM;42.0;0;17/10/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6822244289970208;68.0;0.0;LANDSAT_5;44.859.413;52.208.298;26.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880720_00000000000000000000;435.0;3;768.0;781.0;855.0;416.0;2924.0;337.0;66845000;PEDRO GOMES;0.0;0;20/10/1988;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.23847695390781562;66.0;0.0;LANDSAT_5;458.535;54.608.551;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880720_00000000000000000001;489.0;4;879.0;923.0;498.0;206.0;2915.0;136.0;66870000;COXIM;0.0;0;20/10/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6015473887814313;68.0;0.0;LANDSAT_5;458.535;54.608.551;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
