system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,BQA_median,cloud_cover,date,img_qual,station_nm,site_no,lat,lon,nd_median,.geo
1_LT05_227072_19921220_00000000000000000002,0.117929168,103,0.109297469,0.108519018,0.081212968,0.023768665,293.3248901,0.011208681,672,43,20/12/1992,9,Amolar,66800000,-18.03903914,-57.488015,-0.65093678,
1_LT05_227072_19930105_00000000000000000002,0.093086682,101,0.079835832,0.078365654,0.060025986,0.013178177,298.5505371,0.005284147,672,2,05/01/1993,7,Amolar,66800000,-18.03903914,-57.488015,-0.716641025,
1_LT05_227072_19930310_00000000000000000002,0.088290453,104,0.066265039,0.052960359,0.040427133,0.009529292,297.6946411,0.005767413,672,11,10/03/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.748548696,
1_LT05_227072_19930326_00000000000000000002,0.098326519,106,0.075828895,0.064044185,0.041864753,0.012382756,293.3248901,0.005973479,672,32,26/03/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.730269875,
1_LT05_227072_19930427_00000000000000000002,0.090037681,105,0.068197824,0.050680593,0.038241964,0.01095856,295.9651794,0.006632274,672,5,27/04/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.723116209,
1_LT05_227072_19930513_00000000000000000002,0.114343271,108,0.089753158,0.072171919,0.075915955,0.035484187,289.7124634,0.023590717,672,1,13/05/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.413345466,
1_LT05_227072_19930529_00000000000000000002,0.099745505,109,0.077193476,0.061223261,0.043286849,0.012403324,290.1700745,0.007506601,672,19,29/05/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.736456069,
1_LT05_227072_19930614_00000000000000000002,0.099635161,139,0.075873397,0.055877514,0.045200866,0.012952874,291.9829712,0.007840047,672,4,14/06/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.708354878,
1_LT05_227072_19930716_00000000000000000002,0.12363188,53,0.103503495,0.083451919,0.078737922,0.039063293,282.6210327,0.025970481,928,31,16/07/1993,7,Amolar,66800000,-18.03903914,-57.488015,-0.448988014,
1_LT05_227072_19930902_00000000000000000002,0.160962343,110,0.139970943,0.128257424,0.102283254,0.028797828,289.7124634,0.017239651,672,0,02/09/1993,7,Amolar,66800000,-18.03903914,-57.488015,-0.658730374,
1_LT05_227072_19930918_00000000000000000002,0.15856038,106,0.139645234,0.12727502,0.094396465,0.021711836,296.8329163,0.009155662,672,9,18/09/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.730884606,
1_LT05_227072_19931004_00000000000000000002,0.162539214,102,0.143821672,0.13307108,0.111940771,0.029440993,293.3248901,0.014897147,672,15,04/10/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.653629018,
1_LT05_227072_19931020_00000000000000000002,0.146339551,89,0.137408867,0.135105178,0.110159934,0.047713749,289.7124634,0.029336477,672,44,20/10/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.484510088,
1_LT05_227072_19931121_00000000000000000002,0.134938717,90,0.139585078,0.146757573,0.103920929,0.035791632,293.3248901,0.022636199,672,32,21/11/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.591831414,
1_LT05_227072_19931207_00000000000000000002,0.152509823,73,0.141077891,0.135292813,0.130282715,0.057546269,286.9285583,0.034743901,960,53,07/12/1993,9,Amolar,66800000,-18.03903914,-57.488015,-0.420551164,
1_LT05_227072_19940108_00000000000000000002,0.108715735,92,0.102500774,0.105854675,0.073407345,0.015453815,295.5290527,0.008399352,672,26,08/01/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.730664966,
1_LT05_227072_19940124_00000000000000000002,0.097103111,95,0.091756694,0.097137317,0.058234844,0.011242364,294.2113342,0.00542345,672,6,24/01/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.788421929,
1_LT05_227072_19940209_00000000000000000002,0.108794168,111,0.100412242,0.099223159,0.093919255,0.037129879,286.4579773,0.021721158,928,77,09/02/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.447738473,
1_LT05_227072_19940516_00000000000000000002,0.083568595,97,0.056907624,0.047838643,0.032712683,0.008905255,294.6521301,0.003007369,672,0,16/05/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.729376519,
1_LT05_227072_19940601_00000000000000000002,0.099819541,106,0.074331768,0.058682263,0.039508887,0.012689094,293.3248901,0.003192658,672,43,01/06/1994,7,Amolar,66800000,-18.03903914,-57.488015,-0.70836662,
1_LT05_227072_19940617_00000000000000000002,0.094815686,99,0.072656505,0.057065662,0.03620936,0.0098585,294.6521301,0.008006413,672,0,17/06/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.761049516,
1_LT05_227072_19940719_00000000000000000002,0.102456369,102,0.085802659,0.072373621,0.035649899,0.00970591,294.2113342,0.003277746,672,0,19/07/1994,7,Amolar,66800000,-18.03903914,-57.488015,-0.796753098,
1_LT05_227072_19940804_00000000000000000002,0.118092455,88,0.094376974,0.079707295,0.056724116,0.02166887,290.1700745,0.016120138,928,17,04/08/1994,9,Amolar,66800000,-18.03903914,-57.488015,-0.611529806,
1_LT05_227072_19950706_00000000000000000002,0.099427931,108,0.072901145,0.052497707,0.033571947,0.010596772,294.6521301,0.008604208,672,5,06/07/1995,9,Amolar,66800000,-18.03903914,-57.488015,-0.746178775,
1_LT05_227072_19950807_00000000000000000002,0.144718796,114,0.123022161,0.104053289,0.074341692,0.016230434,293.3248901,0.007828657,672,0,07/08/1995,9,Amolar,66800000,-18.03903914,-57.488015,-0.766892185,
1_LT05_227072_19960215_00000000000000000002,0.108085014,41,0.089758895,0.082000509,0.11548581,0.062318608,289.7124634,0.040645286,672,42,15/02/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.180436202,
1_LT05_227072_19960403_00000000000000000002,0.089579545,37,0.070330888,0.062643647,0.061349697,0.040587503,291.0799866,0.025334785,928,5,03/04/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.293006919,
1_LT05_227072_19960505_00000000000000000002,0.09153346,109,0.069705904,0.051334742,0.041527636,0.014931105,294.2113342,0.00720193,672,32,05/05/1996,7,Amolar,66800000,-18.03903914,-57.488015,-0.628074849,
1_LT05_227072_19960606_00000000000000000002,0.093085311,102,0.063388474,0.049148407,0.031429257,0.00991914,293.3248901,0.003348781,672,0,06/06/1996,7,Amolar,66800000,-18.03903914,-57.488015,-0.74621327,
1_LT05_227072_19960708_00000000000000000002,0.102037653,107,0.079516761,0.062777087,0.037158079,0.010116016,293.3248901,0.008215833,672,1,08/07/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.774278634,
1_LT05_227072_19960724_00000000000000000002,0.108952597,104,0.09503331,0.080230653,0.04531445,0.012985623,291.9829712,0.007859007,672,0,24/07/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.759567658,
1_LT05_227072_19960825_00000000000000000002,0.167832255,99,0.141236588,0.126513049,0.100795172,0.022281304,296.3998108,0.01058236,672,0,25/08/1996,7,Amolar,66800000,-18.03903914,-57.488015,-0.734032005,
1_LT05_227072_19960910_00000000000000000002,0.126989678,102,0.118073009,0.112529874,0.076970622,0.017801693,290.1700745,0.009675203,672,58,10/09/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.730663837,
1_LT05_227072_19961012_00000000000000000002,0.129083052,98,0.128560483,0.125368059,0.086905636,0.024467871,293.7689209,0.011538415,672,24,12/10/1996,7,Amolar,66800000,-18.03903914,-57.488015,-0.680217817,
1_LT05_227072_19961028_00000000000000000002,0.125783205,101,0.129994407,0.133894116,0.080509506,0.014937245,292.8792419,0.008118555,672,41,28/10/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.79387187,
1_LT05_227072_19961113_00000000000000000002,0.109208204,103,0.103558712,0.103251845,0.076076306,0.021062117,291.9829712,0.01093274,672,35,13/11/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.66198079,
1_LT05_227072_19961129_00000000000000000002,0.121043481,93,0.125048935,0.131937489,0.085610107,0.02109405,295.9651794,0.010949363,672,55,29/11/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.71721913,
1_LT05_227072_19961215_00000000000000000002,0.100532413,95,0.098976023,0.107474141,0.067699634,0.014921837,295.0913696,0.008109209,672,13,15/12/1996,9,Amolar,66800000,-18.03903914,-57.488015,-0.744897715,
1_LT05_227072_19970217_00000000000000000002,0.089274928,101,0.070077837,0.062021047,0.042119436,0.016089063,292.4319458,0.008744302,672,56,17/02/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.640458909,
1_LT05_227072_19970305_00000000000000000002,0.08468847,104,0.05797866,0.043088924,0.036018804,0.009317015,296.8329163,0.005639303,672,2,05/03/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.723102108,
1_LT05_227072_19970609_00000000000000000002,0.082789309,102,0.054794759,0.03826661,0.024735797,0.006112835,292.8792419,0.003136838,672,0,09/06/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.799275099,
1_LT05_227072_19970625_00000000000000000002,0.0912233,100,0.060608223,0.043036018,0.030049138,0.006243859,294.6521301,0.003202978,672,0,25/06/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.79924508,
1_LT05_227072_19970727_00000000000000000002,0.092221469,96,0.078987047,0.059170887,0.032817628,0.008935503,295.0913696,0.003017626,672,11,27/07/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.78608834,
1_LT05_227072_19970828_00000000000000000002,0.118405461,100,0.105097972,0.092121035,0.05898042,0.015491182,296.3998108,0.009840203,672,0,28/08/1997,7,Amolar,66800000,-18.03903914,-57.488015,-0.734832823,
1_LT05_227072_19970913_00000000000000000002,0.158698976,103,0.138311163,0.126056328,0.097052172,0.026322186,295.5290527,0.012413574,672,0,13/09/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.686804261,
1_LT05_227072_19970929_00000000000000000002,0.168074101,58,0.154785693,0.142260715,0.136993244,0.069496095,286.9285583,0.042771518,704,7,29/09/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.385328508,
1_LT05_227072_19971015_00000000000000000002,0.153839946,97,0.137883738,0.129955292,0.111243315,0.027598705,298.5505371,0.013965338,672,2,15/10/1997,9,Amolar,66800000,-18.03903914,-57.488015,-0.666445519,
1_LT05_227072_19980730_00000000000000000002,0.130967245,100,0.109618798,0.099881724,0.07057815,0.017397651,295.0913696,0.01105231,672,0,30/07/1998,7,Amolar,66800000,-18.03903914,-57.488015,-0.726056719,
1_LT05_227072_19980815_00000000000000000002,0.16685459,15,0.137261763,0.116281159,0.202868477,0.095426217,285.0344238,0.04441746,960,78,15/08/1998,9,Amolar,66800000,-18.03903914,-57.488015,-0.166100072,
1_LT05_227072_19980831_00000000000000000002,0.150432482,102,0.133820266,0.119542442,0.108953387,0.02753208,293.3248901,0.012981975,672,9,31/08/1998,7,Amolar,66800000,-18.03903914,-57.488015,-0.658733437,
