system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;cloud_cover;cloud_qa_count;date;img_qual;station_nm;site_no;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;snow_ice_qa_count;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225072_19931107_00000000000000000003;709;17;1071;1121;1471;767;2888;403;82;0;07/11/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.13510101;68;0;LANDSAT_5;0;47.028.908;56.262.363;9;32;
1_LT05_225072_19940126_00000000000000000003;537;20;869;1004;1653;675;2846;362;68;0;26/01/1994;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.255681818;68;0;LANDSAT_5;0;50.275.158;53.912.231;9;32;
1_LT05_225072_19940502_00000000000000000003;361;21;744;827;910;359;2947;127;3;0;02/05/1994;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.231481481;68;0;LANDSAT_5;0;73.667.969;37.770.821;9;32;
1_LT05_225072_19940518_00000000000000000003;350;20;761;765;698;413;2933;184;0;0;18/05/1994;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.171676687;66;0;LANDSAT_5;0;91.472.672;33.520.435;225;4;
1_LT05_225072_19940603_00000000000000000003;350;19;717;734;813;369;2951;200;0;0;03/06/1994;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.230291744;66;0;LANDSAT_5;0;98.866.936;33.745.735;18;1;
1_LT05_225072_19940721_00000000000000000003;454;16;732;744;703;371;2968;199;0;0;21/07/1994;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.2756917;66;0;LANDSAT_5;0;96.991.806;40.179.741;81;1;
1_LT05_225072_19940923_00000000000000000003;618;16;855;859;965;564;3019;335;3;0;23/09/1994;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.121693122;68;0;LANDSAT_5;0;50.946.041;51.430.222;9;32;
1_LT05_225072_19950113_00000000000000000003;9445;2;13665;15645;24565;10305;28135;485;40;6;13/01/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.066544617;68;0;LANDSAT_5;0;46.984.535;54.145.462;9;16.5;
1_LT05_225072_19950403_00000000000000000003;463;10;955;1285;1371;392;2938;161;34;0;03/04/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.230164965;68;0;LANDSAT_5;0;44.936.096;56.370.087;9;16.5;
1_LT05_225072_19950521_00000000000000000003;432;18;833;918;911;365;2906;197;45;0;21/05/1995;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.204989874;68;0;LANDSAT_5;0;44.656.548;57.722.778;8;1;
1_LT05_225072_19950606_00000000000000000003;416;18;731;748;749;354;2929;155;0;0;06/06/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.263636364;68;0;LANDSAT_5;0;4.835.606;56.734.463;9;32;
1_LT05_225072_19950708_00000000000000000003;370;8;526;430;680;411;2874;222;16;103;08/07/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.134252169;66;0;LANDSAT_5;0;101.457.069;40.970.398;80;1;
1_LT05_225072_19950910_00000000000000000003;1173;12;1275;1213;1345;609;2964;336;8;139;10/09/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.2;68;0;LANDSAT_5;0;64.793.755;48.845.093;9;1;
1_LT05_225072_19951012_00000000000000000003;527;18;790;873;882;480;2964;218;37;0;12/10/1995;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.171646977;68;0;LANDSAT_5;0;48.724.712;56.650.974;9;32;
1_LT05_225072_19960116_00000000000000000003;529;21;900;1059;1487;521;2906;225;16;0;16/01/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.212469237;68;0;LANDSAT_5;0;47.013.592;58.764.862;9;32;
1_LT05_225072_19960217_00000000000000000003;654;25;938;1072;1546;596;2920;315;49;0;17/02/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.221271135;67;0;LANDSAT_5;0;63.712.414;49.474.812;9;1;
1_LT05_225072_19960405_00000000000000000003;433;21;838;932;1093;436;2960;167;0;0;05/04/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.157024793;68;0;LANDSAT_5;0;51.172.714;54.083.378;9;1;
1_LT05_225072_19960421_00000000000000000003;341;23;699;829;854;358;2947;127;3;0;21/04/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.213802436;68;0;LANDSAT_5;0;45.914.516;58.084.534;9;32;
1_LT05_225072_19960507_00000000000000000003;399;21;764;764;807;344;2933;135;13;0;07/05/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.209688581;68;0;LANDSAT_5;0;45.927.036;58.849.129;9;32;
1_LT05_225072_19960624_00000000000000000003;388;17;739;704;697;357;2920;156;19;0;24/06/1996;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.203549639;66;0;LANDSAT_5;0;499.804;56.554.508;9;32;
1_LT05_225072_19960726_00000000000000000003;567;20;833;827;863;443;2915;252;8;0;26/07/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.102444272;67;0;LANDSAT_5;0;53.563.152;53.481.812;48;16;
1_LT05_225072_19960811_00000000000000000003;621;22;829;822;902;555;2942;234;0;0;11/08/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.106360735;68;0;LANDSAT_5;0;63.640.778;44.915.958;9;32;
1_LT05_225072_19960912_00000000000000000003;347;14;597;707;716;360;2947;187;0;0;12/09/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.087365304;68;0;LANDSAT_5;0;87.435.455;34.457.565;11;0;
1_LT05_225072_19961201_00000000000000000003;535;2;8365;9565;1582;745;2955;298;67;0;01/12/1996;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.049095607;96;0;LANDSAT_5;0;101.558.472;34.397.217;146;8;
1_LT05_225072_19970408_00000000000000000003;407;20;758;931;1023;378;2960;199;0;0;08/04/1997;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.191256831;66;0;LANDSAT_5;0;93.405.663;40.081.081;151;1;
1_LT05_225072_19970627_00000000000000000003;434;17;830;915;752;405;2924;199;0;0;27/06/1997;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.178931061;68;0;LANDSAT_5;0;58.941.525;46.006.607;11;1;
1_LT05_225072_19970729_00000000000000000003;365;18;694;750;720;399;2933;178;0;0;29/07/1997;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.130493577;68;0;LANDSAT_5;0;42.947.132;56.105.289;9;32;
1_LT05_225072_19970915_00000000000000000003;771;18;892;929;1227;739;2960;339;0;2;15/09/1997;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.147468819;68;0;LANDSAT_5;0;44.690.784;553.783;9;1;
1_LT05_225072_19980121_00000000000000000003;472;22;886;1066;1051;430;2951;159;44;0;21/01/1998;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.099472197;68;0;LANDSAT_5;0;47.509.918;53.266.106;9;16.5;
